25	Hlava ruže s roztvorenými lupienkami	Dekoratívna hlava ruže s roztvorenými lupienkami. Hodí sa na výrobu vencov a floristických aranžmánov.
26	Hlava hortenzie s hustým riaseným trsom	Hlava hortenzie s hustým riaseným trsom do floristických aranžmánov. Hodí sa do vencov, väzieb a stolových dekorácií.
27	Hlava pivónie so zvlnenými lupienkami	Dekoratívna hlava pivónie so zvlnenými lupienkami. Hodí sa na výrobu vencov a floristických aranžmánov.
28	Hlava ruže s prehnutými lupienkami	Dekoratívna hlava ruže s prehnutými lupienkami. Hodí sa na výrobu vencov a floristických aranžmánov.
29	Hlava pivónie - pootvorená	Dekoratívna hlava pivónie v pootvorenom pohárovom tvare. Hodí sa na výrobu vencov a floristických aranžmánov.
30	Hlava pivónie s tenkými lupienkami	Dekoratívna hlava pivónie s tenkými lupienkami. Hodí sa na výrobu vencov a floristických aranžmánov.
31	Hlava artičoky	Dekoratívna hlava artičoky určená na výrobu vencov a aranžmánov. Komponent bez stonky.
32	Hlava ruže s prehnutými lupienkami	Dekoratívna hlava ruže s prehnutými lupienkami. Hodí sa na výrobu vencov a floristických aranžmánov.
33	Hlava pivónie - zatvorená	Dekoratívna hlava pivónie (zatvorená). Hodí sa na výrobu vencov a floristických aranžmánov.
34	Hlava ruže so zvrásnenými lupienkami	Dekoratívna hlava ruže so zvrásnenými lupienkami. Hodí sa na výrobu vencov a floristických aranžmánov.
35	Hlava ruže so zvrásnenými lupienkami	Dekoratívna hlava ruže so zvrásnenými lupienkami. Hodí sa na výrobu vencov a floristických aranžmánov.
36	Hlava ruže so zahnutými okrajmi	Dekoratívna hlava ruže so zahnutými okrajmi. Hodí sa na výrobu vencov a floristických aranžmánov.
37	Hlava pivónie - guľovitá	Dekoratívna hlava pivónie s guľovitým tvarom. Hodí sa na výrobu vencov a floristických aranžmánov.
38	Hlava ruže so zahnutými okrajmi	Dekoratívna hlava ruže so zahnutými okrajmi. Hodí sa na výrobu vencov a floristických aranžmánov.
39	Hlava pivónie s prehĺbeným stredom	Dekoratívna hlava pivónie s prehĺbeným stredom. Hodí sa na výrobu vencov a floristických aranžmánov.
40	Hlava pivónie so širokými lupienkami	Dekoratívna hlava pivónie so širokými lupienkami. Hodí sa na výrobu vencov a floristických aranžmánov.
41	Hlava chryzantémy - guľovitá	Dekoratívna hlava chryzantémy s guľovitým tvarom a husto usporiadanými lupienkami. Hodí sa na tvorbu vencov a kvetinových aranžmánov.
42	Hlava magnólie	Dekoratívna hlava magnólie určená na výrobu vencov a aranžmánov. Komponent bez stonky.
43	Hlava ruže - guľovitá	Dekoratívna hlava ruže s guľovitým tvarom. Hodí sa na výrobu vencov a floristických aranžmánov.
44	Hlava kaly	Dekoratívna hlava kaly určená na výrobu vencov a aranžmánov. Komponent bez stonky.
45	Hlava kaly s kontrastným stredom	Dekoratívna hlava kaly s kontrastným stredom. Hodí sa na výrobu vencov a floristických aranžmánov.
46	Hlava ruže - guľovitá	Dekoratívna hlava ruže s guľovitým tvarom. Hodí sa na výrobu vencov a floristických aranžmánov.
47	Hlava ruže	Dekoratívna hlava ruže určená na výrobu vencov a aranžmánov. Komponent bez stonky.
48	Hlava ľalie so širokými plochými lupienkami	Dekoratívna hlava ľalie so širokými plochými lupienkami. Hodí sa na výrobu vencov a floristických aranžmánov.
49	Otvorená hlava magnólie so žilkovaním	Dekoratívny produkt (otvorená hlava magnólie so žilkovaním). Hodí sa do vázy, vencov alebo stolových kompozícií.
50	Plochšia hlava klinčeka	Dekoratívny produkt (plochšia hlava klinčeka). Hodí sa do vázy, vencov alebo stolových kompozícií.
51	Hlava ruže - pootvorená	Dekoratívna hlava ruže (pootvorená). Hodí sa na výrobu vencov a floristických aranžmánov.
52	Hlava orchidey	Dekoratívna hlava orchidey určená na výrobu vencov a aranžmánov. Komponent bez stonky.
53	Hlava ruže so zvlnenými lupienkami	Dekoratívna hlava ruže so zvlnenými lupienkami. Hodí sa na výrobu vencov a floristických aranžmánov.
54	Hlava gerbery	Dekoratívna hlava gerbery určená na výrobu vencov a aranžmánov. Komponent bez stonky.
55	Hlava chryzantémy s úzkymi lupienkami	Dekoratívna hlava chryzantémy s dlhými úzkymi lupienkami a otvoreným tvarom. Vynikne vo vencoch a výrazných kvetinových dekoráciách.
56	Hlava dálie so špicatými lupienkami	Dekoratívna hlava dálie so špicatými vrstvenými lupienkami. Hodí sa do vencov a výrazných kvetinových dekorácií.
57	Hlava iskerníka - kompaktná	Dekoratívna hlava iskerníka (kompaktná). Hodí sa na výrobu vencov a floristických aranžmánov.
58	Hlava pivónie	Dekoratívna hlava pivónie určená na výrobu vencov a aranžmánov. Komponent bez stonky.
59	Hlava ruže	Dekoratívna hlava ruže určená na výrobu vencov a aranžmánov. Komponent bez stonky.
60	Hlava ruže	Dekoratívna hlava ruže určená na výrobu vencov a aranžmánov. Komponent bez stonky.
61	Hlava ruže s výraznými kališnými lístkami	Dekoratívna hlava ruže s výraznými kališnými lístkami. Hodí sa na výrobu vencov a floristických aranžmánov.
62	Hlava ruže	Dekoratívna hlava ruže určená na výrobu vencov a aranžmánov. Komponent bez stonky.
63	Hlava pivónie	Dekoratívna hlava pivónie určená na výrobu vencov a aranžmánov. Komponent bez stonky.
64	Hlava ruže	Dekoratívna hlava ruže určená na výrobu vencov a aranžmánov. Komponent bez stonky.
65	Hlava dálie s viditeľným stredom	Dekoratívna hlava dálie so špicatými lupienkami a otvoreným stredom. Hodí sa do vencov a aranžmánov.
66	Hlava dálie - guľovitá	Dekoratívna hlava dálie s guľovitým tvarom a okrúhlymi, dovnútra zahnutými lupienkami. Hodí sa na výrobu vencov a bohatých aranžmánov.
67	Hlava pivónie s guľovitým stredom	Dekoratívna hlava pivónie s guľovitým stredom. Hodí sa na výrobu vencov a floristických aranžmánov.
69	Hlava antúrie	Dekoratívna hlava antúrie určená na výrobu vencov a aranžmánov. Komponent bez stonky.
70	Hlava pivónie s guľovitým stredom	Dekoratívna hlava pivónie s guľovitým stredom. Hodí sa na výrobu vencov a floristických aranžmánov.
71	Hlava ruže - plochá	Dekoratívna hlava ruže (plochá). Hodí sa na výrobu vencov a floristických aranžmánov.
72	Hlava hortenzie	Dekoratívna hlava hortenzie určená na výrobu vencov a aranžmánov. Komponent bez stonky.
73	Hlava hortenzie s ozdobnými vetvičkami	Dekoratívna hlava hortenzie doplnená ozdobnými vetvičkami. Hodí sa do vencov a floristických aranžmánov.
74	Hlava hortenzie s textúrovanými lupienkami	Dekoratívna hlava hortenzie s textúrovanými lupienkami. Hodí sa do vencov a kvetinových aranžmánov.
75	Hlava hortenzie	Dekoratívna hlava hortenzie určená na výrobu vencov a aranžmánov. Komponent bez stonky.
76	Hlava hortenzie	Dekoratívna hlava hortenzie určená na výrobu vencov a aranžmánov. Komponent bez stonky.
77	Lotosový plod s matným povrchom	Dekoratívny prírodný prvok (lotosový plod s matným povrchom). Hodí sa do vencov, mís a sezónnych aranžmánov.
78	Hviezdicový plod	Dekoratívny prírodný prvok (hviezdicový plod). Hodí sa do vencov, mís a sezónnych aranžmánov.
79	Sušené drobné šištičky	Dekoratívny prírodný prvok (sušené drobné šištičky). Hodí sa do vencov, mís a sezónnych aranžmánov.
80	Malý Bell Cup	Dekoratívny prírodný prvok (malý bell cup). Hodí sa do vencov, mís a sezónnych aranžmánov.
81	Ploché drevené špirálky	Ploché kotúčovité drevené špirálky. Hodí sa do vencov a rustikálnych aranžmánov.
82	Hlava kvetu s kontrastným stredom	Dekoratívna hlava kvetu s kontrastným stredom. Hodí sa na výrobu vencov a floristických aranžmánov.
83	Dvojfarebná drevená ružička	Dekoratívna drevená ružička s kontrastným jadrom a okrajom lupienkov. Hodí sa do vencov a rustikálnych aranžmánov.
84	Jednoliatá drevená ružička	Dekoratívna drevená ružička s jednoliatym povrchom a vrstvenými lupienkami. Hodí sa na lepenie do vencov a prírodných aranžmánov.
85	Drevená hlava kvetu	Spirálovito vrstvená drevená hlava kvetu. Hodí sa na lepenie do vencov a prírodných dekorácií.
86	Hlava sasanky	Dekoratívna hlava sasanky určená na výrobu vencov a aranžmánov. Komponent bez stonky.
88	Badián	Dekoratívny prírodný prvok (badián). Hodí sa do vencov, mís a sezónnych aranžmánov.
89	Bielený hviezdicový plod	Dekoratívny prírodný prvok (bielený hviezdicový plod). Hodí sa do vencov, mís a sezónnych aranžmánov.
90	Prírodný veniec	Dekoratívny produkt (prírodný veniec). Hodí sa do vázy, vencov alebo stolových kompozícií.
91	Bielený lotosový plod	Dekoratívny prírodný prvok (bielený lotosový plod). Hodí sa do vencov, mís a sezónnych aranžmánov.
92	Dekoračný mach	Dekoratívny prírodný prvok (dekoračný mach). Hodí sa do vencov, mís a sezónnych aranžmánov.
93	Bell Cup	Dekoratívny prírodný prvok (bell cup). Hodí sa do vencov, mís a sezónnych aranžmánov.
94	Kúsky lotosového plodu	Dekoratívny prírodný prvok (kúsky lotosového plodu). Hodí sa do vencov, mís a sezónnych aranžmánov.
95	Sušené lodičkové plody	Dekoratívny prírodný prvok (sušené lodičkové plody). Hodí sa do vencov, mís a sezónnych aranžmánov.
96	Plochá cédrová ružička	Dekoratívny prírodný prvok (plochá cédrová ružička). Hodí sa do vencov, mís a sezónnych aranžmánov.
98	Hviezdicový plod s predĺženými cípkami	Dekoratívny prírodný prvok (hviezdicový plod s predĺženými cípkami). Hodí sa do vencov, mís a sezónnych aranžmánov.
99	Kužeľovitá cédrová ružička	Dekoratívny prírodný prvok (kužeľovitá cédrová ružička). Hodí sa do vencov, mís a sezónnych aranžmánov.
100	Dekoračná guľôčka	Dekoratívny prírodný prvok (dekoračná guľôčka). Hodí sa do vencov, mís a sezónnych aranžmánov.
101	Dekoračné šišky	Dekoratívny prírodný prvok (dekoračné šišky). Hodí sa do vencov, mís a sezónnych aranžmánov.
102	Dekoračný muškátový oriešok	Dekoratívny prírodný prvok (dekoračný muškátový oriešok). Hodí sa do vencov, mís a sezónnych aranžmánov.
103	Sušený kalichovitý plod	Dekoratívny prírodný prvok (sušený kalichovitý plod). Hodí sa do vencov, mís a sezónnych aranžmánov.
104	Bobuľová vetvička s lesklým povrchom	Dekoratívny prírodný prvok (bobuľová vetvička s lesklým povrchom). Hodí sa do vencov, mís a sezónnych aranžmánov.
105	Zaoblená hlava kvetu	Dekoratívny produkt (zaoblená hlava kvetu). Hodí sa do vázy, vencov alebo stolových kompozícií.
106	Lotosový plod	Dekoratívny prírodný prvok (lotosový plod). Hodí sa do vencov, mís a sezónnych aranžmánov.
107	Dekoračná vetvička so sušeným vzhľadom	Dekoratívny produkt (dekoračná vetvička so sušeným vzhľadom). Hodí sa do vázy, vencov alebo stolových kompozícií.
108	Dekoračný púčik na stopke	Dekoratívny dekoračný púčik na stopke vhodný do vázy alebo aranžmánu. Jednoduchý doplnok bez nutnosti údržby.
109	Sušený puk na drôtiku	Dekoratívny produkt (sušený puk na drôtiku). Hodí sa do vázy, vencov alebo stolových kompozícií.
110	Jutové vrecúško	Dekoratívny produkt (jutové vrecúško). Hodí sa do vázy, vencov alebo stolových kompozícií.
111	Otvorený hviezdicový plod	Dekoratívny prírodný prvok (otvorený hviezdicový plod). Hodí sa do vencov, mís a sezónnych aranžmánov.
112	Prútená guľa	Dekoratívny produkt (prútená guľa). Hodí sa do vázy, vencov alebo stolových kompozícií.
113	Bell Cup	Dekoratívny prírodný prvok (bell cup). Hodí sa do vencov, mís a sezónnych aranžmánov.
114	Dekoračný kalíšok	Dekoratívny produkt (dekoračný kalíšok). Hodí sa do vázy, vencov alebo stolových kompozícií.
115	Nízka hlava klinčeka	Dekoratívny produkt (nízka hlava klinčeka). Hodí sa do vázy, vencov alebo stolových kompozícií.
117	Dekoračná pichľavá guľôčka	Dekoratívny produkt (dekoračná pichľavá guľôčka). Hodí sa do vázy, vencov alebo stolových kompozícií.
118	Sušený plod	Dekoratívny prírodný prvok (sušený plod). Hodí sa do vencov, mís a sezónnych aranžmánov.
119	Artičoka na stopke	Dekoratívny artičoka na stopke vhodný do vázy alebo aranžmánu. Jednoduchý doplnok bez nutnosti údržby.
120	Bodliak na stopke	Dekoratívny bodliak na stopke vhodný do vázy alebo aranžmánu. Jednoduchý doplnok bez nutnosti údržby.
121	Dekoračná tekvička	Dekoratívny produkt (dekoračná tekvička). Hodí sa do vázy, vencov alebo stolových kompozícií.
122	Dekoratívna tekvica	Dekoratívny produkt (dekoratívna tekvica). Hodí sa do vázy, vencov alebo stolových kompozícií.
123	Bobuľová vetvička s matným povrchom	Dekoratívny prírodný prvok (bobuľová vetvička s matným povrchom). Hodí sa do vencov, mís a sezónnych aranžmánov.
124	Kokosové vlákno	Dekoratívny produkt (kokosové vlákno). Hodí sa do vázy, vencov alebo stolových kompozícií.
125	Umelý mach	Dekoratívny produkt (umelý mach). Hodí sa do vázy, vencov alebo stolových kompozícií.
126	Sisalové vlákno	Dekoratívny produkt (sisalové vlákno). Hodí sa do vázy, vencov alebo stolových kompozícií.
127	Predĺžené drevené špirálky	Predĺžené dekoračné špirálky z tenkých drevených pásikov. Hodí sa do vencov, mís a suchých väzieb.
128	Drobné kvietky	Dekoratívny produkt (drobné kvietky). Hodí sa do vázy, vencov alebo stolových kompozícií.
129	Dekoratívne kalichy s dierovanou textúrou	Dekoratívny prírodný prvok (dekoratívne kalichy s dierovanou textúrou). Hodí sa do vencov, mís a sezónnych aranžmánov.
130	Dekoratívna škorica	Dekoratívny produkt (dekoratívna škorica). Hodí sa do vázy, vencov alebo stolových kompozícií.
131	Sušené škrupiny	Dekoratívny produkt (sušené škrupiny). Hodí sa do vázy, vencov alebo stolových kompozícií.
132	Dekoratívne kalichy s hladkým povrchom	Dekoratívny prírodný prvok (dekoratívne kalichy s hladkým povrchom). Hodí sa do vencov, mís a sezónnych aranžmánov.
133	Dekoratívne šišky	Dekoratívny produkt (dekoratívne šišky). Hodí sa do vázy, vencov alebo stolových kompozícií.
134	Artičoka na stopke	Dekoratívny artičoka na stopke vhodný do vázy alebo aranžmánu. Jednoduchý doplnok bez nutnosti údržby.
135	Palmový list vejár	Dekoratívny produkt (palmový list vejár). Hodí sa do vázy, vencov alebo stolových kompozícií.
136	Dekoračné tobolky	Dekoratívny produkt (dekoračné tobolky). Hodí sa do vázy, vencov alebo stolových kompozícií.
137	Dekoračné plody	Dekoratívny produkt (dekoračné plody). Hodí sa do vázy, vencov alebo stolových kompozícií.
138	Drevené zvitky	Dekoratívny produkt (drevené zvitky). Hodí sa do vázy, vencov alebo stolových kompozícií.
139	Sušené plody	Dekoratívny produkt (sušené plody). Hodí sa do vázy, vencov alebo stolových kompozícií.
140	Hviezdicovitá hlava	Dekoratívny produkt (hviezdicovitá hlava). Hodí sa do vázy, vencov alebo stolových kompozícií.
141	Dekoratívny sukulent	Dekoratívny produkt (dekoratívny sukulent). Hodí sa do vázy, vencov alebo stolových kompozícií.
142	Dekoratívna hlava	Dekoratívny produkt (dekoratívna hlava). Hodí sa do vázy, vencov alebo stolových kompozícií.
143	Cédrová ruža	Prírodná dekorácia v tvare ruže zo šupiniek šišky. Hodí sa na lepenie do vencov a sezónnych aranžmánov.
144	Cédrová ruža	Prírodná dekorácia v tvare ruže zo šupiniek šišky. Hodí sa na lepenie do vencov a sezónnych aranžmánov.
145	Hlava slamienky	Dekoratívna hlava slamienky určená na výrobu vencov a aranžmánov. Komponent bez stonky.
146	Saténová stuha	Saténová stuha s hladkým povrchom. Hodí sa na viazanie kytíc a darčekové balenia.
147	Dekoračný sprej	Dekoračný sprej Florist Deco Spray na úpravu sušených aj umelých dekorácií a doplnkov. Hodí sa na dokončenie floristických aranžmánov.
148	Floristický drôt	Tenký floristický drôt na upevnenie a tvarovanie pri aranžovaní. Uľahčuje viazanie kytíc a stavbu vencov.
149	Stuha s ornamentálnym kvetinovým okrajom	Dekoratívna stuha vhodná na viazanie kytíc a darčekové balenia. Jednoduchý doplnok pre floristiku.
150	Dekoratívna stuha	Dekoratívna stuha vhodná na viazanie kytíc a darčekové balenia. Jednoduchý doplnok pre floristiku.
151	Saténová stuha	Saténová stuha s hladkým povrchom. Hodí sa na viazanie kytíc a darčekové balenia.
152	Široká dekoračná stuha	Dekoratívna stuha vhodná na viazanie kytíc a darčekové balenia. Jednoduchý doplnok pre floristiku.
153	Margarétková stuha	Dekoratívna stuha s margarétkovým vzorom. Hodí sa na zdobenie kytíc a darčekov.
154	Dekoračná stuha	Dekoratívna stuha vhodná na viazanie kytíc a darčekové balenia. Jednoduchý doplnok pre floristiku.
155	Dekoratívna stuha s čipkovaným lemom	Dekoratívna stuha s kvetinovým vzorom a čipkovaným lemom. Hodí sa na zdobenie kytíc, darčekových balení a dekorácií.
156	Saténová stuha s kvetinovým vzorom	Saténová stuha s kvetinovým vzorom. Hodí sa na balenie darčekov a zdobenie kytíc.
157	Saténová stuha	Saténová stuha s hladkým povrchom. Hodí sa na viazanie kytíc a darčekové balenia.
158	Saténová stuha	Saténová stuha s hladkým povrchom. Hodí sa na viazanie kytíc a darčekové balenia.
159	Plastová stonka	Plastová stonka ako základ pre umelé kvety. Hodí sa na zostavenie aranžmánov.
160	Valcové ampulky na vodu	Dekoratívny produkt (valcové ampulky na vodu). Hodí sa do vázy, vencov alebo stolových kompozícií.
161	Floristická skúmavka	Floristická skúmavka na vodu so zápichom. Hodí sa do vencov a aranžmánov s čerstvými stonkami.
163	Kuželovité ampulky na vodu	Dekoratívny produkt (kuželovité ampulky na vodu). Hodí sa do vázy, vencov alebo stolových kompozícií.
164	Saténová stuha	Saténová stuha s hladkým povrchom. Hodí sa na viazanie kytíc a darčekové balenia.
165	Dekoračná stuha s textúrou	Dekoratívna stuha s textúrovaným povrchom. Hodí sa na viazanie kytíc a darčekové balenia.
166	Dekoratívna jutová páska	Dekoratívna jutová páska. Hodí sa na rustikálne viazanie kytíc a balenie.
167	Umelé lýko	Umelé lýko (rafia) na viazanie a balenie. Hodí sa na kytice, darčekové balenia a floristické väzby.
168	Polypropylénový špagát	Viazací materiál na floristiku a balenie. Hodí sa na preväzovanie kytíc a dekorácií.
169	Dekoratívna pavučinová sieťka	Dekoračná sieťka na balenie a aranžovanie. Hodí sa do kytíc a darčekových balení.
170	Jutový copík	Viazací materiál na floristiku a balenie. Hodí sa na preväzovanie kytíc a dekorácií.
171	Dekoratívna krútená šnúra	Viazací materiál na floristiku a balenie. Hodí sa na preväzovanie kytíc a dekorácií.
172	Papierové lyko	Viazací materiál na floristiku a balenie. Hodí sa na preväzovanie kytíc a dekorácií.
173	Károvaná stuha	Dekoratívna stuha s károvaným vzorom. Hodí sa na balenie darčekov a rustikálne aranžmány.
174	Károvaná textilná stuha	Dekoratívna stuha s károvaným vzorom. Hodí sa na balenie darčekov a rustikálne aranžmány.
175	Stuha s ozdobnými linkami na okraji	Dekoratívna stuha s ozdobnými linkami na okraji. Hodí sa na viazanie kytíc a darčekové balenia.
176	Károvaná stuha s textúrou	Dekoratívna stuha s károvaným vzorom. Hodí sa na balenie darčekov a rustikálne aranžmány.
177	Stuha s ornamentálnym okrajom	Dekoratívna stuha s ornamentálnym okrajom. Hodí sa na balenie darčekov a floristické aranžmány.
178	Saténová stuha	Saténová stuha s hladkým povrchom. Hodí sa na viazanie kytíc a darčekové balenia.
179	Saténová stuha	Saténová stuha s hladkým povrchom. Hodí sa na viazanie kytíc a darčekové balenia.
